order_id,order_date,product_id,region,vendor,quantity,price,total
5b2ed383-3064-407c-928b-194b3704adfc,2023-08-12,12f79069-32be-4671-b0cc-20b364442fc0,São Paulo,Kaio Silva,7,626,4382
0fc33e3d-8d71-49e4-b265-dd7386beba53,2024-06-12,55d05ae4-3efb-4240-82be-efb27aeebdd8,São Paulo,Luciano Galvão,5,831,4155
b8708538-27b5-4800-8519-d63afb70026f,2023-08-24,fdea9c2e-24ca-4156-97a1-d8c79cedec9a,São Paulo,Estagiario,10,666,6660
e544fe50-a35e-48be-b9c5-ee0dbf8b412e,2024-03-20,7e80e3d5-80ad-4fc7-82d7-ab4738f5be90,São Paulo,Fabio Melo,6,289,1734
168e99da-07a9-4b26-ba06-4ba4bc421392,2024-02-18,14a022ac-4d58-4a5e-9d63-a7edc859942c,São Paulo,Luciano Galvão,4,397,1588
afad05ef-40a7-4f9c-a883-35d1c15e3ee1,2024-06-03,b166f1cb-66c1-428f-99ef-ac9bd5581ef2,São Paulo,Fabio Melo,1,809,809
588d7aa3-bcc1-42ab-9bb5-8ad913f26a0b,2024-06-05,b1bb6896-d258-4c30-9f0d-585d682d2434,Rio de Janeiro,Fabio Melo,7,191,1337
a746f027-fe72-405e-b0df-39f91b622a27,2024-01-01,c5eb2c78-7a75-4fca-868b-0902f83004c2,São Paulo,Luciano Galvão,6,392,2352
e13e1054-d54d-4e35-89bc-879bc906bc95,2024-02-01,113bd11b-4328-4bae-8a5a-57113f545b62,Tocantins,Estagiario,4,418,1672
35459872-925d-4d75-8aec-07153117f0c7,2023-11-21,eb62b1b4-fe19-499d-b1f2-8178c83eb55d,Tocantins,Estagiario,6,620,3720
d355da53-9575-41ec-b9b7-95e6246a1d4e,2024-03-18,a4854139-94cb-4596-b03b-0375b6d9211f,Tocantins,Kaio Silva,9,193,1737
d259041c-b0a7-492c-8a00-debef1fcaa1d,2024-01-16,2c55662b-d80e-4e33-b730-15f8021f050d,São Paulo,Fabio Melo,1,735,735
5e68a0bc-e883-4688-9514-94210cd612f8,2024-03-05,5548f9e9-aaf6-4047-b646-b31f3fb47b07,São Paulo,Luciano Galvão,5,531,2655
98c7c051-d213-45fd-a4c1-9c6eed00209a,2024-07-16,a3ffc3cf-b42b-46eb-a7b2-ddb1dfab64ff,São Paulo,Estagiario,2,201,402
5df88c37-2d0f-420b-8e64-4320ca98d29d,2023-11-20,c73a9b71-6c29-444f-a222-358271c9b961,Tocantins,Luciano Galvão,4,331,1324
77cee105-e6e6-4e34-ad54-e56c3f96f105,2023-09-03,5dbfb2dc-85f0-4454-beda-1a627775bbb2,Rio de Janeiro,Estagiario,6,991,5946
f1487e01-7756-45f2-8085-303bdafa49ad,2023-08-31,5cbf7eb2-935d-4030-bbd5-7e70212d173f,Rio de Janeiro,Estagiario,9,463,4167
b6e24c1f-1a59-4e53-884d-e02976943673,2024-05-25,bbfce02f-1ffe-41ee-94d0-80cfc8fd13b0,São Paulo,Kaio Silva,6,376,2256
e999c6fa-3b91-431f-bac9-44ea8296b3c4,2024-01-11,d3269746-39be-411e-868c-d75ac592c15f,Rio de Janeiro,Luciano Galvão,1,388,388
15be7464-a298-4ef7-8086-3cf14efbaa31,2023-11-02,538a2722-7d96-4861-9736-8a719376014a,Tocantins,Estagiario,7,958,6706
a2bfbb56-1e88-4bba-9671-df24be8b23e5,2024-06-26,4b8be97a-fac2-4433-8eda-0916811a680f,São Paulo,Estagiario,7,710,4970
82d38210-58b4-4e92-9956-9c57cafc4750,2024-02-12,61970984-c4a0-4c50-9ebe-96e33d678fdc,Rio de Janeiro,Estagiario,6,876,5256
fe494a97-4880-4835-b12a-f01e0f876a97,2024-04-27,3ac425b4-8ec7-4107-add2-e5aedf7cbe15,São Paulo,Estagiario,2,920,1840
23a1d8fb-308d-41ec-8c3b-d6ec67972871,2023-11-02,31cb0fa7-f7e1-450e-a146-56809b731d96,Tocantins,Luciano Galvão,7,172,1204
0a8d8c0f-5157-4a81-af36-2cd836a2897e,2023-12-21,1941bfec-e217-4465-bee6-d1572d796568,Tocantins,Fabio Melo,6,479,2874
f97506b7-097a-4f45-87c4-f80dab5130ba,2024-03-04,cde06ca3-3bff-40bc-aa47-22074803ccef,São Paulo,Fabio Melo,8,468,3744
8a444b37-93bb-472b-965b-c94a520aebf2,2023-08-06,d729c178-81aa-4e54-a475-2c6101e36ba8,São Paulo,Luciano Galvão,6,178,1068
1884cb90-c9ac-4941-b218-20b908bdedf8,2024-01-14,09c0c69e-2e5a-4071-829a-4b2ae0579bb4,São Paulo,Estagiario,10,876,8760
85e5b94e-73cb-4ae2-a7eb-5f66791221b8,2024-04-02,8077d430-63dd-4149-8053-05d5748ccb47,São Paulo,Estagiario,7,912,6384
